Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
10/08/2018,Manchester United,Leicester City,2,1,H
11/08/2018,Newcastle United,Tottenham Hotspur,1,2,A
11/08/2018,AFC Bournemouth,Cardiff City,2,0,H
11/08/2018,Fulham,Crystal Palace,0,2,A
11/08/2018,Huddersfield Town,Chelsea,0,3,A
11/08/2018,Watford,Brighton & Hove Albion,2,0,H
11/08/2018,Wolverhampton Wanderers,Everton,2,2,D
12/08/2018,Liverpool,West Ham United,4,0,H
12/08/2018,Arsenal,Manchester City,0,2,A
12/08/2018,Southampton,Burnley,0,0,D
18/08/2018,Cardiff City,Newcastle United,0,0,D
18/08/2018,Everton,Southampton,2,1,H
18/08/2018,Leicester City,Wolverhampton Wanderers,2,0,H
18/08/2018,Tottenham Hotspur,Fulham,3,1,H
18/08/2018,West Ham United,AFC Bournemouth,1,2,A
18/08/2018,Chelsea,Arsenal,3,2,H
19/08/2018,Manchester City,Huddersfield Town,6,1,H
19/08/2018,Brighton & Hove Albion,Manchester United,3,2,H
19/08/2018,Burnley,Watford,1,3,A
20/08/2018,Crystal Palace,Liverpool,0,2,A
25/08/2018,Wolverhampton Wanderers,Manchester City,1,1,D
25/08/2018,Arsenal,West Ham United,3,1,H
25/08/2018,AFC Bournemouth,Everton,2,2,D
25/08/2018,Huddersfield Town,Cardiff City,0,0,D
25/08/2018,Southampton,Leicester City,1,2,A
25/08/2018,Liverpool,Brighton & Hove Albion,1,0,H
26/08/2018,Fulham,Burnley,4,2,H
26/08/2018,Newcastle United,Chelsea,1,2,A
26/08/2018,Watford,Crystal Palace,2,1,H
27/08/2018,Manchester United,Tottenham Hotspur,0,3,A
01/09/2018,Leicester City,Liverpool,1,2,A
01/09/2018,Brighton & Hove Albion,Fulham,2,2,D
01/09/2018,Chelsea,AFC Bournemouth,2,0,H
01/09/2018,Crystal Palace,Southampton,0,2,A
01/09/2018,Everton,Huddersfield Town,1,1,D
01/09/2018,West Ham United,Wolverhampton Wanderers,0,1,A
01/09/2018,Manchester City,Newcastle United,2,1,H
02/09/2018,Burnley,Manchester United,0,2,A
02/09/2018,Watford,Tottenham Hotspur,2,1,H
02/09/2018,Cardiff City,Arsenal,2,3,A
15/09/2018,Tottenham Hotspur,Liverpool,1,2,A
15/09/2018,AFC Bournemouth,Leicester City,4,2,H
15/09/2018,Chelsea,Cardiff City,4,1,H
15/09/2018,Huddersfield Town,Crystal Palace,0,1,A
15/09/2018,Manchester City,Fulham,3,0,H
15/09/2018,Newcastle United,Arsenal,1,2,A
15/09/2018,Watford,Manchester United,1,2,A
16/09/2018,Everton,West Ham United,1,3,A
