Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
04/08/2018,Salford City,Leyton Orient,1,1,D
04/08/2018,AFC Fylde,Bromley,2,1,H
04/08/2018,Aldershot Town,Barnet,0,0,D
04/08/2018,Barrow,Havant & Waterlooville,3,0,H
04/08/2018,Boreham Wood,Dagenham & Redbridge,1,0,H
04/08/2018,Braintree Town,Halifax Town,0,2,A
04/08/2018,Dover Athletic,Wrexham,0,1,A
04/08/2018,Eastleigh,Solihull Moors,1,2,A
04/08/2018,Ebbsfleet United,Chesterfield,0,1,A
04/08/2018,Harrogate Town,Sutton United,2,2,D
04/08/2018,Maidenhead United,Gateshead,1,3,A
04/08/2018,Maidstone United,Hartlepool United,1,1,D
07/08/2018,Barnet,Braintree Town,1,1,D
07/08/2018,Bromley,Dover Athletic,2,2,D
07/08/2018,Chesterfield,Aldershot Town,3,0,H
07/08/2018,Dagenham & Redbridge,Maidstone United,1,2,A
07/08/2018,Halifax Town,Barrow,2,0,H
07/08/2018,Gateshead,Salford City,2,1,H
07/08/2018,Hartlepool United,Harrogate Town,2,2,D
07/08/2018,Havant & Waterlooville,Boreham Wood,0,0,D
07/08/2018,Leyton Orient,Ebbsfleet United,1,1,D
07/08/2018,Solihull Moors,Maidenhead United,1,0,H
07/08/2018,Sutton United,Eastleigh,1,0,H
07/08/2018,Wrexham,AFC Fylde,0,0,D
11/08/2018,Wrexham,Boreham Wood,3,0,H
11/08/2018,Barnet,Eastleigh,1,2,A
11/08/2018,Bromley,Harrogate Town,1,1,D
11/08/2018,Chesterfield,Braintree Town,1,0,H
11/08/2018,Dagenham & Redbridge,Maidenhead United,2,2,D
11/08/2018,Halifax Town,Maidstone United,3,0,H
11/08/2018,Gateshead,Dover Athletic,2,1,H
11/08/2018,Hartlepool United,Ebbsfleet United,0,1,A
11/08/2018,Havant & Waterlooville,AFC Fylde,1,1,D
11/08/2018,Leyton Orient,Barrow,2,2,D
11/08/2018,Solihull Moors,Aldershot Town,1,0,H
11/08/2018,Sutton United,Salford City,2,1,H
14/08/2018,AFC Fylde,Solihull Moors,3,1,H
14/08/2018,Aldershot Town,Dagenham & Redbridge,2,1,H
14/08/2018,Barrow,Chesterfield,3,2,H
14/08/2018,Boreham Wood,Gateshead,1,1,D
14/08/2018,Braintree Town,Hartlepool United,1,1,D
14/08/2018,Dover Athletic,Havant & Waterlooville,4,3,H
14/08/2018,Eastleigh,Bromley,1,0,H
14/08/2018,Ebbsfleet United,Sutton United,0,1,A
14/08/2018,Harrogate Town,Barnet,2,0,H
14/08/2018,Maidenhead United,Wrexham,0,2,A
14/08/2018,Maidstone United,Leyton Orient,1,2,A
14/08/2018,Salford City,Halifax Town,2,1,H
18/08/2018,AFC Fylde,Dover Athletic,4,0,H
18/08/2018,Aldershot Town,Harrogate Town,0,2,A
18/08/2018,Barnet,Ebbsfleet United,0,3,A
18/08/2018,Braintree Town,Havant & Waterlooville,3,4,A
18/08/2018,Bromley,Gateshead,1,0,H
18/08/2018,Eastleigh,Wrexham,1,3,A
18/08/2018,Halifax Town,Dagenham & Redbridge,2,1,H
18/08/2018,Hartlepool United,Maidenhead United,2,1,H
18/08/2018,Leyton Orient,Boreham Wood,1,0,H
18/08/2018,Maidstone United,Barrow,1,0,H
18/08/2018,Salford City,Chesterfield,3,2,H
18/08/2018,Solihull Moors,Sutton United,2,2,D
25/08/2018,Maidenhead United,Maidstone United,3,2,H
25/08/2018,Barrow,Braintree Town,1,0,H
25/08/2018,Boreham Wood,Halifax Town,2,1,H
25/08/2018,Chesterfield,Barnet,0,1,A
25/08/2018,Dagenham & Redbridge,Hartlepool United,1,2,A
25/08/2018,Dover Athletic,Eastleigh,1,2,A
25/08/2018,Ebbsfleet United,Aldershot Town,3,1,H
25/08/2018,Gateshead,Leyton Orient,1,1,D
25/08/2018,Harrogate Town,Solihull Moors,3,1,H
25/08/2018,Havant & Waterlooville,Salford City,1,1,D
25/08/2018,Sutton United,AFC Fylde,0,0,D
25/08/2018,Wrexham,Bromley,2,2,D
27/08/2018,Aldershot Town,Sutton United,2,1,H
27/08/2018,Barnet,Dagenham & Redbridge,2,1,H
27/08/2018,Braintree Town,Maidenhead United,0,2,A
27/08/2018,Bromley,Havant & Waterlooville,4,0,H
27/08/2018,Eastleigh,Ebbsfleet United,0,1,A
27/08/2018,Halifax Town,Gateshead,1,0,H
27/08/2018,Hartlepool United,Chesterfield,1,0,H
27/08/2018,Leyton Orient,Dover Athletic,3,0,H
27/08/2018,Maidstone United,Boreham Wood,1,2,A
27/08/2018,Salford City,Barrow,3,1,H
27/08/2018,Solihull Moors,Wrexham,1,0,H
27/08/2018,AFC Fylde,Harrogate Town,0,0,D
01/09/2018,Barrow,Solihull Moors,1,2,A
01/09/2018,Boreham Wood,Braintree Town,1,1,D
01/09/2018,Chesterfield,Leyton Orient,0,1,A
01/09/2018,Dagenham & Redbridge,Salford City,0,0,D
01/09/2018,Dover Athletic,Barnet,1,2,A
01/09/2018,Ebbsfleet United,AFC Fylde,1,3,A
01/09/2018,Gateshead,Maidstone United,1,0,H
01/09/2018,Harrogate Town,Eastleigh,4,0,H
01/09/2018,Havant & Waterlooville,Hartlepool United,1,2,A
01/09/2018,Maidenhead United,Bromley,2,2,D
01/09/2018,Sutton United,Halifax Town,1,1,D
01/09/2018,Wrexham,Aldershot Town,2,0,H
04/09/2018,AFC Fylde,Salford City,0,2,A
04/09/2018,Boreham Wood,Chesterfield,1,0,H
04/09/2018,Bromley,Barnet,0,1,A
04/09/2018,Dagenham & Redbridge,Braintree Town,1,0,H
04/09/2018,Dover Athletic,Ebbsfleet United,1,1,D
04/09/2018,Gateshead,Harrogate Town,2,3,A
04/09/2018,Hartlepool United,Barrow,0,0,D
04/09/2018,Leyton Orient,Solihull Moors,3,0,H
04/09/2018,Maidenhead United,Eastleigh,2,0,H
04/09/2018,Maidstone United,Sutton United,0,1,A
04/09/2018,Wrexham,Halifax Town,0,0,D
05/09/2018,Havant & Waterlooville,Aldershot Town,2,1,H
08/09/2018,Aldershot Town,Bromley,3,2,H
08/09/2018,Barnet,Maidenhead United,1,0,H
08/09/2018,Barrow,Dagenham & Redbridge,0,1,A
08/09/2018,Braintree Town,Wrexham,0,1,A
08/09/2018,Chesterfield,Dover Athletic,0,0,D
08/09/2018,Eastleigh,AFC Fylde,0,0,D
08/09/2018,Halifax Town,Leyton Orient,1,1,D
08/09/2018,Harrogate Town,Havant & Waterlooville,3,2,H
08/09/2018,Salford City,Maidstone United,1,0,H
08/09/2018,Solihull Moors,Hartlepool United,0,1,A
08/09/2018,Ebbsfleet United,Gateshead,0,1,A
15/09/2018,Wrexham,Ebbsfleet United,4,1,H
15/09/2018,AFC Fylde,Aldershot Town,3,0,H
15/09/2018,Boreham Wood,Barrow,1,1,D
15/09/2018,Bromley,Salford City,0,2,A
15/09/2018,Dagenham & Redbridge,Chesterfield,1,1,D
15/09/2018,Dover Athletic,Solihull Moors,0,2,A
15/09/2018,Gateshead,Braintree Town,0,1,A
15/09/2018,Hartlepool United,Eastleigh,1,1,D
15/09/2018,Havant & Waterlooville,Sutton United,1,2,A
15/09/2018,Leyton Orient,Barnet,3,1,H
