Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
29/07/2022,Huddersfield Town,Burnley,0,1,A
30/07/2022,Rotherham United,Swansea City,1,1,D
30/07/2022,Blackburn Rovers,Queens Park Rangers,1,0,H
30/07/2022,Blackpool,Reading,1,0,H
30/07/2022,Hull City,Bristol City,2,1,H
30/07/2022,Luton Town,Birmingham City,0,0,D
30/07/2022,Millwall,Stoke City,2,0,H
30/07/2022,Wigan Athletic,Preston North End,0,0,D
30/07/2022,Cardiff City,Norwich City,1,0,H
30/07/2022,Middlesbrough,West Bromwich Albion,1,1,D
31/07/2022,Sunderland,Coventry City,1,1,D
01/08/2022,Watford,Sheffield United,1,0,H
05/08/2022,Birmingham City,Huddersfield Town,2,1,H
06/08/2022,Norwich City,Wigan Athletic,1,1,D
06/08/2022,Preston North End,Hull City,0,0,D
06/08/2022,Queens Park Rangers,Middlesbrough,3,2,H
06/08/2022,Sheffield United,Millwall,2,0,H
06/08/2022,Stoke City,Blackpool,2,0,H
06/08/2022,Reading,Cardiff City,2,1,H
06/08/2022,Swansea City,Blackburn Rovers,0,3,A
06/08/2022,Bristol City,Sunderland,2,3,A
06/08/2022,Burnley,Luton Town,1,1,D
08/08/2022,West Bromwich Albion,Watford,1,1,D
12/08/2022,Watford,Burnley,1,0,H
13/08/2022,Cardiff City,Birmingham City,1,0,H
13/08/2022,Blackpool,Swansea City,0,1,A
13/08/2022,Huddersfield Town,Stoke City,3,1,H
13/08/2022,Hull City,Norwich City,2,1,H
13/08/2022,Luton Town,Preston North End,0,1,A
13/08/2022,Millwall,Coventry City,3,2,H
13/08/2022,Rotherham United,Reading,4,0,H
13/08/2022,Sunderland,Queens Park Rangers,2,2,D
13/08/2022,Wigan Athletic,Bristol City,1,1,D
14/08/2022,Middlesbrough,Sheffield United,2,2,D
14/08/2022,Blackburn Rovers,West Bromwich Albion,2,1,H
16/08/2022,Swansea City,Millwall,2,2,D
16/08/2022,Preston North End,Rotherham United,0,0,D
16/08/2022,Norwich City,Huddersfield Town,2,1,H
16/08/2022,Birmingham City,Watford,1,1,D
16/08/2022,Bristol City,Luton Town,2,0,H
16/08/2022,Burnley,Hull City,1,1,D
16/08/2022,Queens Park Rangers,Blackpool,0,1,A
17/08/2022,Stoke City,Middlesbrough,2,2,D
17/08/2022,West Bromwich Albion,Cardiff City,0,0,D
17/08/2022,Reading,Blackburn Rovers,3,0,H
17/08/2022,Sheffield United,Sunderland,2,1,H
19/08/2022,Norwich City,Millwall,2,0,H
20/08/2022,Swansea City,Luton Town,0,2,A
