Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
08/08/2015,Chester,Braintree Town,1,0,H
08/08/2015,Lincoln City,Cheltenham Town,1,1,D
08/08/2015,Barrow,Dover Athletic,2,1,H
08/08/2015,Southport,Eastleigh,0,4,A
08/08/2015,Boreham Wood,Halifax Town,3,1,H
08/08/2015,Altrincham,Forest Green Rovers,0,1,A
08/08/2015,Aldershot Town,Gateshead,1,2,A
08/08/2015,Kidderminster Harriers,Grimsby Town,2,2,D
08/08/2015,Welling United,Guiseley,1,0,H
08/08/2015,Torquay United,Macclesfield Town,1,0,H
08/08/2015,Tranmere Rovers,Woking,1,0,H
08/08/2015,Bromley,Wrexham,3,1,H
11/08/2015,Cheltenham Town,Aldershot Town,0,0,D
11/08/2015,Guiseley,Altrincham,1,0,H
11/08/2015,Grimsby Town,Barrow,4,1,H
11/08/2015,Eastleigh,Boreham Wood,1,0,H
11/08/2015,Woking,Bromley,2,0,H
11/08/2015,Halifax Town,Chester,0,1,A
11/08/2015,Dover Athletic,Kidderminster Harriers,3,2,H
11/08/2015,Braintree Town,Lincoln City,1,3,A
11/08/2015,Macclesfield Town,Southport,0,0,D
11/08/2015,Wrexham,Torquay United,3,1,H
11/08/2015,Gateshead,Tranmere Rovers,1,4,A
11/08/2015,Forest Green Rovers,Welling United,1,0,H
15/08/2015,Wrexham,Aldershot Town,3,0,H
15/08/2015,Woking,Altrincham,2,0,H
15/08/2015,Forest Green Rovers,Barrow,4,0,H
15/08/2015,Gateshead,Boreham Wood,2,1,H
15/08/2015,Grimsby Town,Bromley,4,1,H
15/08/2015,Dover Athletic,Chester,0,0,D
15/08/2015,Guiseley,Kidderminster Harriers,1,0,H
15/08/2015,Eastleigh,Lincoln City,1,1,D
15/08/2015,Cheltenham Town,Southport,3,0,H
15/08/2015,Halifax Town,Torquay United,2,3,A
15/08/2015,Braintree Town,Tranmere Rovers,0,0,D
15/08/2015,Macclesfield Town,Welling United,2,1,H
18/08/2015,Bromley,Braintree Town,1,2,A
18/08/2015,Chester,Cheltenham Town,1,1,D
18/08/2015,Aldershot Town,Dover Athletic,1,1,D
18/08/2015,Welling United,Eastleigh,2,2,D
18/08/2015,Tranmere Rovers,Halifax Town,1,0,H
18/08/2015,Boreham Wood,Forest Green Rovers,0,1,A
18/08/2015,Southport,Gateshead,1,2,A
18/08/2015,Altrincham,Grimsby Town,2,1,H
18/08/2015,Barrow,Guiseley,1,1,D
18/08/2015,Lincoln City,Macclesfield Town,5,3,H
18/08/2015,Torquay United,Woking,0,1,A
18/08/2015,Kidderminster Harriers,Wrexham,1,3,A
22/08/2015,Guiseley,Aldershot Town,0,4,A
22/08/2015,Dover Athletic,Altrincham,2,1,H
22/08/2015,Cheltenham Town,Barrow,2,1,H
22/08/2015,Tranmere Rovers,Boreham Wood,0,2,A
22/08/2015,Halifax Town,Bromley,2,2,D
22/08/2015,Woking,Chester,5,2,H
22/08/2015,Gateshead,Kidderminster Harriers,1,1,D
22/08/2015,Forest Green Rovers,Lincoln City,3,1,H
22/08/2015,Eastleigh,Macclesfield Town,1,0,H
22/08/2015,Braintree Town,Southport,1,0,H
22/08/2015,Grimsby Town,Torquay United,2,2,D
22/08/2015,Wrexham,Welling United,1,0,H
29/08/2015,Welling United,Braintree Town,1,2,A
29/08/2015,Torquay United,Cheltenham Town,0,3,A
29/08/2015,Macclesfield Town,Chester,1,2,A
29/08/2015,Bromley,Dover Athletic,1,1,D
29/08/2015,Aldershot Town,Eastleigh,1,2,A
29/08/2015,Wrexham,Halifax Town,3,1,H
29/08/2015,Kidderminster Harriers,Forest Green Rovers,0,2,A
29/08/2015,Guiseley,Gateshead,0,2,A
29/08/2015,Lincoln City,Grimsby Town,1,1,D
29/08/2015,Barrow,Southport,1,0,H
29/08/2015,Altrincham,Tranmere Rovers,2,1,H
29/08/2015,Boreham Wood,Woking,1,1,D
31/08/2015,Braintree Town,Aldershot Town,1,2,A
31/08/2015,Southport,Altrincham,3,0,H
31/08/2015,Halifax Town,Barrow,3,1,H
31/08/2015,Dover Athletic,Boreham Wood,2,1,H
31/08/2015,Forest Green Rovers,Bromley,2,1,H
31/08/2015,Chester,Guiseley,1,1,D
31/08/2015,Tranmere Rovers,Kidderminster Harriers,2,2,D
31/08/2015,Gateshead,Lincoln City,2,0,H
31/08/2015,Grimsby Town,Macclesfield Town,0,2,A
31/08/2015,Eastleigh,Torquay United,3,2,H
31/08/2015,Woking,Welling United,2,0,H
31/08/2015,Cheltenham Town,Wrexham,2,1,H
05/09/2015,Welling United,Tranmere Rovers,1,1,D
05/09/2015,Kidderminster Harriers,Braintree Town,0,1,A
05/09/2015,Altrincham,Cheltenham Town,2,1,H
05/09/2015,Southport,Dover Athletic,0,0,D
05/09/2015,Barrow,Eastleigh,1,0,H
05/09/2015,Aldershot Town,Halifax Town,3,2,H
05/09/2015,Chester,Forest Green Rovers,1,2,A
05/09/2015,Bromley,Gateshead,3,0,H
05/09/2015,Boreham Wood,Grimsby Town,1,3,A
05/09/2015,Torquay United,Guiseley,1,1,D
05/09/2015,Macclesfield Town,Woking,2,1,H
05/09/2015,Lincoln City,Wrexham,1,1,D
12/09/2015,Grimsby Town,Aldershot Town,4,1,H
12/09/2015,Wrexham,Altrincham,3,1,H
12/09/2015,Braintree Town,Barrow,1,1,D
12/09/2015,Lincoln City,Boreham Wood,3,1,H
12/09/2015,Tranmere Rovers,Chester,2,0,H
12/09/2015,Cheltenham Town,Dover Athletic,3,2,H
12/09/2015,Eastleigh,Gateshead,1,2,A
12/09/2015,Halifax Town,Kidderminster Harriers,1,1,D
12/09/2015,Bromley,Macclesfield Town,1,0,H
12/09/2015,Forest Green Rovers,Southport,2,1,H
12/09/2015,Welling United,Torquay United,1,1,D
12/09/2015,Guiseley,Woking,4,4,D
15/09/2015,Dover Athletic,Braintree Town,0,0,D
15/09/2015,Boreham Wood,Bromley,2,3,A
15/09/2015,Altrincham,Eastleigh,1,1,D
15/09/2015,Guiseley,Halifax Town,2,1,H
15/09/2015,Woking,Forest Green Rovers,2,1,H
15/09/2015,Chester,Grimsby Town,1,1,D
15/09/2015,Barrow,Lincoln City,1,0,H
