Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
05/08/2017,Sutton United,Leyton Orient,2,0,H
05/08/2017,Bromley,Eastleigh,0,0,D
05/08/2017,Dagenham & Redbridge,Barrow,2,1,H
05/08/2017,AFC Fylde,Boreham Wood,2,2,D
05/08/2017,Guiseley,Ebbsfleet United,2,2,D
05/08/2017,Halifax Town,Aldershot Town,0,2,A
05/08/2017,Hartlepool United,Dover Athletic,0,1,A
05/08/2017,Maidstone United,Maidenhead United,1,1,D
05/08/2017,Torquay United,Tranmere Rovers,0,0,D
05/08/2017,Woking,Gateshead,2,1,H
05/08/2017,Wrexham,Macclesfield Town,0,1,A
08/08/2017,Maidenhead United,Wrexham,1,2,A
08/08/2017,Aldershot Town,Torquay United,3,2,H
08/08/2017,Barrow,Halifax Town,0,0,D
08/08/2017,Boreham Wood,Dagenham & Redbridge,1,2,A
08/08/2017,Chester,AFC Fylde,1,1,D
08/08/2017,Dover Athletic,Bromley,1,2,A
08/08/2017,Eastleigh,Sutton United,1,0,H
08/08/2017,Ebbsfleet United,Maidstone United,2,0,H
08/08/2017,Gateshead,Guiseley,1,0,H
08/08/2017,Leyton Orient,Solihull Moors,3,1,H
08/08/2017,Macclesfield Town,Hartlepool United,1,1,D
08/08/2017,Tranmere Rovers,Woking,3,1,H
12/08/2017,Tranmere Rovers,Sutton United,0,1,A
12/08/2017,Maidenhead United,Hartlepool United,2,1,H
12/08/2017,Aldershot Town,Guiseley,6,0,H
12/08/2017,Barrow,Woking,3,0,H
12/08/2017,Boreham Wood,Solihull Moors,4,1,H
12/08/2017,Chester,Halifax Town,0,0,D
12/08/2017,Dover Athletic,Wrexham,1,0,H
12/08/2017,Eastleigh,Dagenham & Redbridge,2,2,D
12/08/2017,Ebbsfleet United,AFC Fylde,3,3,D
12/08/2017,Gateshead,Torquay United,3,0,H
12/08/2017,Leyton Orient,Maidstone United,2,0,H
12/08/2017,Macclesfield Town,Bromley,0,0,D
15/08/2017,Wrexham,Gateshead,1,0,H
15/08/2017,Bromley,Leyton Orient,6,1,H
15/08/2017,Dagenham & Redbridge,Ebbsfleet United,3,3,D
15/08/2017,AFC Fylde,Maidenhead United,1,4,A
15/08/2017,Guiseley,Tranmere Rovers,0,0,D
15/08/2017,Halifax Town,Dover Athletic,1,2,A
15/08/2017,Hartlepool United,Chester,1,1,D
15/08/2017,Maidstone United,Aldershot Town,1,1,D
15/08/2017,Solihull Moors,Barrow,3,3,D
15/08/2017,Sutton United,Macclesfield Town,2,1,H
15/08/2017,Torquay United,Boreham Wood,2,4,A
15/08/2017,Woking,Eastleigh,2,1,H
19/08/2017,Boreham Wood,Aldershot Town,2,1,H
19/08/2017,Solihull Moors,Halifax Town,0,1,A
19/08/2017,Bromley,Hartlepool United,2,0,H
19/08/2017,Chester,Sutton United,2,3,A
19/08/2017,Dover Athletic,Barrow,1,1,D
19/08/2017,Eastleigh,Tranmere Rovers,2,0,H
19/08/2017,AFC Fylde,Dagenham & Redbridge,2,2,D
19/08/2017,Gateshead,Macclesfield Town,3,0,H
19/08/2017,Guiseley,Torquay United,3,2,H
19/08/2017,Maidenhead United,Ebbsfleet United,1,1,D
19/08/2017,Maidstone United,Wrexham,2,1,H
19/08/2017,Woking,Leyton Orient,0,2,A
25/08/2017,Macclesfield Town,Dover Athletic,1,0,H
26/08/2017,Wrexham,Woking,1,0,H
26/08/2017,Halifax Town,Guiseley,2,0,H
